,0
851,NHL FaceOff 99
852,Dai-2-Ji Super Robot Taisen Z: Hakai-hen
853,The X Files
854,Rascal
855,Famicom Mini: Super Mario Bros. 2
856,Big Strike Bowling
857,SpongeBob's Truth or Square (US sales)
858,Avatar: The Last Airbender - The Burning Earth
859,JGTC: All-Japan Grand Touring Car Championship
860,Arc the Lad III
861,Mobile Suit Gundam: Gundam vs. Gundam
862,Jikkyou Powerful Pro Yakyuu 11
863,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion
864,Rush 2: Extreme Racing USA
865,Jikkyou Powerful Pro Yakyuu 6
866,The Fairly Odd Parents: Game Boy Advance Video Volume 2
867,Cabela's Legendary Adventures
868,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!
869,JumpStart: Escape from Adventure Island
870,Style Lab: Makeover
871,Kumamon Bomber: Puzzle de Kumamon Taisou
872,International Superstar Soccer Pro '98
873,Jimmy Neutron: Boy Genius
874,Double Pack: Finding Nemo / The Incredibles
875,Lord of the Rings: The Third Age
876,X-Men vs. Street Fighter
877,Jampack Spring 2004 (RP-T)
878,Dexter's Laboratory Deesaster Strikes
879,Scooby-Doo and the Cyber Chase
880,Sega Rally Championship 2
881,Quake II
882,Wheel of Fortune: 2nd Edition
883,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS
884,Grudge Warriors
885,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen
886,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)"
887,Farming Simulator 2015
888,Itadaki Street DS
889,NASCAR Racing
890,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki
891,Boku no Natsuyasumi 2: Umi no Bouken Hen
892,Command & Conquer: Red Alert
893,Ogre Battle 64: Person of Lordly Caliber
894,Superman: The New Superman Adventures
895,UEFA Euro 2008 Austria-Switzerland
896,Rogue Galaxy: Director's Cut
897,Armored Core
898,Densha De Go! 2
899,Disney Princess: Enchanting Storybooks
900,AKB1/48: Idol to Koishitara...
901,Pro Pinball
902,'98 Koshien
903,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales)
904,Speed Racer: The Videogame
905,Just Dance Kids 2
906,Hatsune Miku: Project Diva 2nd
907,"Ed, Edd n Eddy: The Mis-Edventures"
908,Avatar: The Game
909,My Virtual Tutor: Reading Adventure First to Second Grade
910,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life
911,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)"
912,Dragon Quest X
913,WipeOut 3 The Game
914,Taiko no Tatsujin Wii: Dodon to 2 Yome!
915,Thief (2014)
916,Warriors Orochi 2 (JP sales)
917,Pet in TV
918,NBA ShootOut 2000
919,NCAA GameBreaker 2000
920,AKB1/48: Idol to Guam de Koishitara...
921,RR64: Ridge Racer 64
922,Top Gear Rally
923,NFL Quarterback Club 2000
924,Mortal Kombat Mythologies: Sub-Zero
925,Bugs Bunny: Lost in Time
926,Rocket Power: Dream Scheme
927,SpongeBob's Truth or Square (US sales)
928,Planet 51
929,Road Rash: Jailbreak
930,Mother 3
931,You Don't Know Jack
932,Star Wars: Clone Wars
933,Boku no Natsuyasumi
934,Command & Conquer
935,SD Gundam G Generation Seed
936,NHL 99
937,Danball Senki
938,Bloody Roar
939,Mobile Suit Gundam: Lost War Chronicles
940,Disney's Brother Bear
941,Fire Emblem: Fuuin no Tsurugi
942,SpongeBob's Truth or Square (US sales)
943,Ener-G: Gym Rockets
944,Thrasher Presents: Skate and Destroy
945,Are You Smarter than a 5th Grader? Make the Grade
946,Tear Ring Saga Yutona Eiyuu Senki
947,Taiko no Tatsujin Wii: Ketteiban
948,All-Star Baseball 2000
949,Custom Robo V2
950,Extreme-G: XG2
951,BattleTanx: Global Assault
952,Chibi-Robo! Plug into Adventure!
953,Jampack Winter 2003 (RP-T)
954,Sesame Street: Elmo's A-to-Zoo Adventure
955,SpongeBob vs The Big One: Beach Party Cook Off
956,Junior Classic Games
957,Hooked! Again: Real Motion Fishing
958,Tokimeki Memorial 2
959,Dance Party: Pop Hits
960,Jam Sessions: Sing and Play Guitar (US sales)
961,Saints Row IV
962,Evil Dead: Fistfull of Boomstick
963,Phantasy Star Ø
964,Triple Play 97
965,San Francisco Rush: Extreme Racing
966,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi
967,Imagine: Salon Stylist
968,SD Gundam G Generation Spirits
969,Peppa Pig: The Game
970,The Cat in the Hat
971,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden
972,ESPN Extreme Games
973,Ninja: Shadow of Darkness
974,SD Gundam G Generation-F
975,Lilo & Stitch 2: Hämsterviel Havoc
976,Mobile Suit Gundam version 2.0
977,MediEvil II
978,Rogue Trip: Vacation 2012
979,Tiger Woods PGA Tour 08
980,Taiko no Tatsujin Portable DX
981,Moto Racer World Tour
982,NCAA Final Four 2000
983,Petz Rescue: Wildlife Vet
984,Monster Jam: Path of Destruction
985,Mobile Suit Gundam: Extreme VS Full Boost
986,The House of the Dead: Overkill - Extended Cut
987,Petz Rescue: Ocean Patrol
988,Paws & Claws: Pampered Pets
989,Tobal 2
990,Digging for Dinosaurs
991,Kileak: The DNA Imperative
992,Phantasy Star Portable 2: Infinity
993,Hell's Kitchen: The Game
994,"Monsters, Inc. Scream Arena"
995,Yarudora Series Vol.1: Double Cast
996,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!
997,Turok: Rage Wars
998,Command & Conquer: Red Alert 3 Ultimate Edition
999,Kotoba no Puzzle: Mojipittan DS
1000,Barbie Horse Adventures: Blue Ribbon Race
1001,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan
1002,Dishonored
1003,Bottom of the 9th
1004,Virtua Fighter 3tb
1005,Resident Evil Zero
1006,Kamaitachi no Yoru 2
1007,One Piece: Gigant Battle!
1008,LocoRoco 2
1009,MechWarrior 2: 31st Century Combat
1010,Press Your Luck 2010 Edition
1011,Mobile Suit Z-Gundam
1012,Cubix Robots for Everyone: Clash 'n' Bash
1013,Speed Racer: The Videogame
1014,Big Bass World Championship
1015,NFL GameDay 2001
1016,Tetrisphere
1017,Saban's Power Rangers: Lightspeed Rescue
1018,Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei
1019,Hamster Club 3
1020,LEGO Racers
1021,ATV/Monster Truck Mayhem
1022,Naruto: Ultimate Ninja 3 (JP sales)
1023,J-League Pro Soccer Club o Tsukurou '04
1024,James Bond 007: Legends
1025,Dai-2-Ji Super Robot Taisen Z Saisei-hen
1026,Disney's The Haunted Mansion
1027,Dance Dance Revolution 3rdMix
1028,Ryu Ga Gotoku Kenzan!
1029,U-Sing
1030,Super Robot Taisen A
1031,We Sing Deutsche Hits
1032,Boxer's Road
1033,Toriko: Gourmet Survival!
1034,South Park Rally
1035,J-League Pro Soccer Club o Tsukurou!
1036,Wonder Pets! Save the Animals!
1037,Formula 1 Championship Edition
1038,CSI: Deadly Intent - The Hidden Cases
1039,SOCOM: Tactical Strike
1040,Blasto
1041,Backyard Baseball 2006
1042,SpongeBob's Boating Bash
1043,Vancouver 2010 - The Official Video Game of the Olympic Winter Games
1044,Momotarou Dentetsu 12
1045,Jikkyou Powerful Pro Yakyuu 13
1046,Bloody Roar 3
1047,One Piece: Gigant Battle 2 Shin Sekai
1048,Pac-Man All-Stars
1049,Def Jam Rapstar
1050,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales)
1051,Jikkyou Powerful Pro Yakyuu 2000
1052,The Fairly Odd Parents: Shadow Showdown
1053,Saban's Power Rangers: Lightspeed Rescue
1054,College Hoops 2K8
1055,From TV Animation One Piece: Tobidase Kaizokudan!
1056,Hello Kitty Daily
1057,Farming Simulator 2015
1058,Jikkyou Powerful Pro Yakyuu 7
1059,Rally Cross 2
1060,Disney Fairies: Tinker Bell and the Great Fairy Rescue
1061,UEFA Euro 2008 Austria-Switzerland
1062,Kurushi Final: Mental Blocks
1063,Style Lab: Jewelry Design
1064,Risk / Battleship / Clue
1065,SD Gundam G Generation World
1066,The Wild Thornberrys Movie
1067,Avatar: The Last Airbender - The Burning Earth
1068,F.E.A.R.
1069,Driver 2 Advance
1070,Chicken Riot
1071,The Fairly Odd Parents: Shadow Showdown
1072,Marvel Super Heroes
1073,Off Road Challenge
1074,Backstreet Billiards
1075,Football Manager Handheld 2008
1076,Momotarou Dentetsu DS: Tokyo & Japan
1077,Point Blank
1078,Bookworm
1079,Smart Girl's Party Game
1080,My Baby Boy
1081,Tiny Tank
1082,Imagine: Movie Star
1083,Pony Friends 2
1084,Disney Sing It: Pop Hits
1085,Buzz! The Ultimate Music Quiz
1086,Power Rangers Samurai
1087,Fade to Black
1088,Sengoku Musou 3 Z
1089,Transformers: Revenge of the Fallen (DS Versions)
1090,Tokyo Highway Battle
1091,Bomberman World
1092,The X-Factor
1093,Digimon World: Dawn / Dusk
1094,Deathtrap Dungeon
1095,Tales of the World: Radiant Mythology 2
1096,SingStar Take That
1097,Family Party: 90 Great Games Party Pack
1098,Hell's Kitchen: The Game
1099,BeatMania Append GottaMix
1100,Dead or Alive 5
1101,World Stadium 3
1102,Custom Robo
1103,BattleTanx
1104,Hatsune Miku: Project Diva Extend
1105,Pitfall 3D: Beyond the Jungle
1106,"Warhammer 40,000: Squad Command"
1107,SSX Blur
1108,Vin Diesel: Wheelman
1109,My Baby: First Steps
1110,Parodius
1111,Sakura Wars 3: Paris wa Moeteiru ka
1112,NCAA GameBreaker 2001
1113,Naruto: Gekito Ninja Taisen! 4
1114,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten
1115,"Carnival Games: Monkey See, Monkey Do!"
1116,DX Game of Life 2
1117,NBA Live 96
1118,Samurai Warriors 2: Xtreme Legends (JP sales)
1119,Discovery Kids: Puppy Playtime
1120,Dr. Mario / Puzzle League
1121,Shin Nippon Pro Wrestling: Toukon Retsuden
1122,Pinball Hall of Fame: The Gottlieb Collection
1123,Nicktoons: Movin'
1124,One Piece: Romance Dawn - Bouken no Yoake
1125,Championship Bass
1126,NHL Breakaway 98
1127,Momotarou Dentetsu 20-Shuunen
1128,Bust-A-Move '99
1129,Dragon Quest Monsters 1·2
1130,Bigfoot: Collision Course
1131,OverBlood
1132,ESPN X-Games Pro Boarder
1133,Naruto: Ultimate Ninja (JP sales)
1134,"Go, Diego, Go!: Great Dinosaur Rescue"
1135,Nagano Winter Olympics 98
1136,Rayman 2: The Great Escape
1137,Peppa Pig: Theme Park Fun
1138,Rally Cross
1139,Extreme Pinball
1140,Gold's Gym: Cardio Workout (Others sales)
1141,Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima
1142,No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!
1143,Cartoon Network Collection: Game Boy Advance Video Platinum Edition
1144,SpongeBob SquarePants: Double Pack
1145,"Ed, Edd n Eddy: Jawbreakers!"
1146,Riven: The Sequel to Myst
1147,Derby Stallion DS
1148,Dragon Quest Monsters: Battle Road Victory
1149,From TV Animation One Piece: Grand Battle! 3
1150,The Conveni: Ano Machi wo Dokusen Seyo
1151,Shin Super Robot Taisen Special Disk
1152,UEFA Euro 2008 Austria-Switzerland
1153,Littlest Pet Shop: City Friends
1154,Power Rangers: Time Force
1155,"Monsters, Inc."
1156,Quiz Magic Academy DS
1157,Heart of Darkness
1158,Virtua Striker 2
1159,WarCraft II: The Dark Saga
1160,MonHun Nikki: Poka Poka Ailu Mura G
1161,Sesame Street: Cookie's Counting Carnival
1162,NBA ShootOut
1163,Phineas and Ferb Ride Again
1164,Jikkyou Powerful Pro Yakyuu 14
1165,Jikkyou Powerful Pro Yakyuu Portable 3
1166,Sesame Street: Elmo's Letter Adventure
1167,Jampack: Summer 2003 (RP-M)
1168,Alone in the Dark: One-Eyed Jack's Revenge
1169,Einhänder
1170,Tiny Toon Adventures: The Great Beanstalk
1171,Foto Frenzy: Spot The Diffrence
1172,Armored Core: Silent Line
1173,SD Gundam G Generation Wars
1174,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2
1175,Super Robot Taisen Complete Box
1176,Jikkyou Powerful Pro Yakyuu 4
1177,Goemon's Great Adventure
1178,Hot Wheels Turbo Racing
1179,Vigilante 8
1180,Bass Hunter 64
1181,Doubutsu no Mori
1182,Naruto: Ninja Destiny (US sales)
1183,J-League Winning Eleven 2007: Club Championship
1184,Shrek's Carnival Craze Party Games
1185,Jampack Volume 12
1186,Lord of the Rings: Battle for Middle-Earth
1187,Demolition Racer
1188,Final Fantasy IV
1189,Math Play
1190,SD Gundam G Generation: Overworld
1191,TouchMaster: Connect
1192,NHL FaceOff 2000
1193,South Park: Chef's Luv Shack
1194,Music Maker
1195,40 Winks
1196,Fate/Extra
1197,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten
1198,A Collection of Classic Games from the Intellivision
1199,Spin Jam
1200,KuruKuru Kururin
1201,Imagine: Family Doctor
1202,Ehrgeiz
1203,Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable
1204,Karaoke Revolution Glee: Volume 3
1205,"Army Men World War: Land, Sea, Air"
1206,Dai-2-Ji Super Robot Taisen OG
1207,Lumines ll
1208,Jumping Flash!
1209,Karaoke Revolution Party
1210,Puyo Puyo 7
1211,Rhythm Tengoku
1212,Super Robot Taisen W
1213,Cart World Series
1214,Super Robot Taisen OG: Original Generations Gaiden
1215,DmC: Devil May Cry
1216,Dynasty Warriors 8: Xtreme Legends
1217,Fossil Fighters (JP sales)
1218,Monster Truck Madness 64
1219,Quake II
1220,Nounai Aeshe: IQ Suppli DS
1221,Macross Digital Mission VF-X
1222,Yu Yu Hakusho Ghost Files: Spirit Detective
1223,N3: Ninety-Nine Nights
1224,Shin Megami Tensei: Persona 2: Innocent Sin
1225,Rabbids: Alive & Kicking
1226,Star Gladiator Episode: I Final Crusade
1227,We Sing Pop!
1228,Star Ocean 5: Integrity and Faithlessness
1229,Taiko no Tatsujin Wii: Minna de Party * 3-Yome!
1230,James Bond 007: Legends
1231,Dragon Quest Builders: Revive Alefgard
1232,Power Pro Kun Pocket 6
1233,Harvest Moon DS Cute (US sales)
1234,Power Pro Kun Pocket 10
1235,Future Cop L.A.P.D.
1236,Mah Jong Quest: Expeditions
1237,Batman: The Brave and the Bold the Videogame
1238,Thief (2014)
1239,Imagine: Makeup Artist
1240,Junior Brain Trainer 2
1241,Power Pro Kun Pocket 4
1242,The Godfather: Dons Edition
1243,The Amazing Spider-Man 2 (2014)
1244,Fisherman's Bait 2: Big Ol' Bass
1245,Kurohyou: Ryu ga Gotoku Shinshou
1246,One Piece Unlimited Cruise 2: Awakening of a Hero
1247,Kagero: Deception II
1248,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban
1249,Jeopardy! 2nd Edition
1250,SD Gundam G Century
1251,Ben 10 Ultimate Alien: Cosmic Destruction
1252,Atelier Iris 3: Grand Phantasm (US Sales)
1253,From TV Animation One Piece: Treasure Battle!
1254,Hamster Club 4: Shigessa Daidassou
1255,Jikkyou Powerful Pro Yakyuu 8
1256,Viz
1257,Top Gear Overdrive
1258,Xena: Warrior Princess - The Talisman of Fate
1259,Jeremy McGrath Supercross 2000
1260,The New Tetris
1261,Ken Griffey Jr.'s Slugfest
1262,Supercross 2000
1263,War Gods
1264,Jewel Quest Mysteries: Curse of the Emerald Tear
1265,Just Dance Wii 2
1266,DX Game of Life
1267,The Punisher
1268,MLB Pennant Race
1269,"Sakura Wars 4: Koi Seyo,Otome"
1270,"Sakura Wars: So Long, My Love"
1271,The Urbz: Sims In the City (US weekly sales)
1272,Feel the Magic XY/XX
1273,Snowboarding
1274,Purr Pals
1275,Final Fantasy X-2: International + Last Mission
1276,Namco Museum Vol.2
1277,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles
1278,Tomba! 2: The Evil Swine Return
1279,Dragon Quest: Shounen Yangus to Fushigi no Dungeon
1280,BeatMania Append 4thMix: The beat goes on
1281,Power Pro Kun Pocket 11
1282,PGA Tour 97
1283,Battle & Get! Pokemon Typing DS
1284,Kung Zhu
1285,VMX Racing
1286,Disney's Extreme Skate Adventure
1287,Tigger's Honey Hunt
1288,Yu-Gi-Oh! Double Pack
1289,Netsu Chu! Pro Yakyuu 2003
1290,Fantastic 4: Flame On
1291,F/A-18F Super Hornet
1292,Triple Play 2000
1293,Need for Speed: Most Wanted
1294,Arcade Hits: Frisky Tom
1295,Tales of the World: Radiant Mythology 3
1296,Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S
1297,Hannah Montana: Spotlight World Tour
1298,Rocket Power: Beach Bandits
1299,MX SuperFly featuring Ricky Carmichael
1300,Conflict: Desert Storm II - Back to Bagdhad
1301,Sesame Street: Elmo's A-to-Zoo Adventure
1302,Shrek: Ogres & Dronkeys
1303,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"
1304,NBA In The Zone
1305,Dragon Quest Heroes II: Twin Kings and the Prophecy's End
1306,iCarly 2: iJoin The Click!
1307,Sesame Street: Cookie's Counting Carnival
1308,Civilization II
1309,Dynasty Warriors: Gundam
1310,Pinkalicious
1311,Pokemon Box: Ruby & Sapphire
1312,Puyo Puyo! 15th Anniversary
1313,Yu-Gi-Oh! Monster Capsule Breed & Battle
1314,FIFA Soccer 07
1315,AC/DC LIVE: Rock Band Track Pack
1316,Warpath: Jurassic Park
1317,One Piece Unlimited Cruise 1: The Treasure Beneath the Waves
1318,Power Pro Kun Pocket 3
1319,Armored Core: Project Phantasma
1320,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2
1321,Q-Ball: Billiards Master
1322,Shin Nippon Pro Wrestling: Toukon Retsuden 2
1323,The Legend of Zelda: The Minish Cap(weekly JP sales)
1324,Resident Evil 2: Dual Shock Edition
1325,Dynasty Warriors
1326,M&M's Blast!
1327,Final Fantasy X International
1328,Tiny Toon Adventures: Plucky's Big Adventure
1329,Littlest Pet Shop: Beach Friends
1330,Dragon Ball GT: Final Bout
1331,Burstrick: Wake Boarding!!
1332,Divinity: Original Sin
1333,R.U.S.E.
1334,Gunship
1335,Jikkyou Powerful Pro Yakyuu Portable 4
1336,SD Gundam G Generation Portable
1337,Battle of Giants: Mutant Insects
1338,Sengoku Basara 4
1339,Yu-Gi-Oh! The Sacred Cards (JP weekly sales)
1340,Reader Rabbit Kindergarten
1341,NBA In The Zone '98
1342,Jikkyou Powerful Pro Yakyuu 5
1343,NBA Jam 99
1344,Shadow Man
1345,Command & Conquer
1346,Tales of Eternia
1347,Summer Athletics: The Ultimate Challenge (US sales)
1348,Magical Vacation
1349,Superbike 2000
1350,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu
1351,F1 2016 (Codemasters)
1352,Connect Four / Perfection / Trouble
1353,Alundra 2: A New Legend Begins
1354,Jikkyou Powerful Pro Yakyuu '98 Ketteiban
1355,Initial D: Special Stage
1356,Family Feud: 2010 Edition
1357,Final Doom
1358,Are You Smarter than a 5th Grader? Game Time
1359,NBA ShootOut 2001
1360,Wipeout 2
1361,Payday 2
1362,Battle Arena Toshinden 3
1363,Jade Cocoon: Story of the Tamamayu
1364,Super Collapse! 3
1365,My Virtual Tutor: Reading Adventure Kindergarten to First
1366,Jikkyou Powerful Pro Yakyuu 2010
1367,Scene It? Twilight
1368,And1 Streetball
1369,Sonic X: Game Boy Advance Video Volume 1
1370,Gallop Racer 2: One and Only Road to Victory
1371,"Barbie: Jet, Set & Style!"
1372,Gundam Breaker
1373,The House of the Dead 2
1374,A.C.E.: Another Century's Episode R
1375,Littlest Pet Shop: Friends
1376,Jikkyou Powerful Pro Yakyuu '99 Ketteiban
1377,Dragon Age Origins: Awakening
1378,King's Field II
1379,NCAA Gamebreaker
1380,Tomba!
1381,Love Plus
1382,Tales of Innocence
1383,Rugrats: I Gotta Go Party
1384,Crash Tag Team Racing
1385,DS Bungaku Zenshuu
1386,Project Runway
1387,Jikkyou Powerful Pro Yakyuu 2013
1388,Sengoku Basara 2
1389,Jonah Lomu Rugby Challenge
1390,Tom and Jerry in War of the Whiskers
1391,Ace Attorney Investigations 2
1392,Smart Girl's Playhouse
1393,TouchMaster 3(Others sales)
1394,Jikkyou Powerful Pro Yakyuu 2011
1395,Power Pro Kun Pocket 5
1396,Konjiki no Gashbell!! Makai no Bookmark
1397,Hatsune Miku: Project Diva
1398,Gundam Battle Universe
1399,Sengoku Basara: Battle Heroes
1400,Nightmare Creatures
1401,Duke Nukem: Zero Hour
1402,Armorines: Project S.W.A.R.M.
1403,Dora the Explorer: The Search for Pirate Pig's Treasure
1404,Muramasa: The Demon Blade
1405,Yakuza: Ishin
1406,The Amazing Spider-Man 2 (2014)
1407,SD Gundam G Generation: Cross Drive
1408,McGrath Vs. Pastrana Freestyle Motocross
1409,Karaoke Joysound Wii
1410,Classic NES Series: Bomberman
1411,Avatar: The Last Airbender - The Burning Earth
1412,Bratz Ponyz 2
1413,A.C.E.: Another Century's Episode
1414,Dora the Explorer: Game Boy Advance Video Volume 1
1415,Marvel Super Heroes vs. Street Fighter
1416,Star Trek: The Game
1417,"SpongeBob SquarePants: Lights, Camera, Pants!"
1418,Choro Q3
1419,Lemony Snicket's A Series of Unfortunate Events
1420,Bionicle: Matoran Adventures
1421,Armored Core: Master of Arena
1422,A.C.E.: Another Century's Episode 3: The Final
1423,The Backyardigans
1424,Backyard NFL Football
1425,Tomb Raider: Underworld (Others sales)
1426,NHL Rock the Rink
1427,TOCA Race Driver 2: Ultimate Racing Simulator
1428,Super Robot Taisen R
1429,Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!
1430,Spelling Challenges and more!
1431,Crusaders of Might and Magic
1432,Evil Zone
1433,Spy Kids Challenger
1434,K-ON! Houkago Live!!
1435,A. IV Evolution: A Ressha de Ikou 4
1436,Exhibition
1437,Scrabble
1438,Blaster Master: Blasting Again
1439,Cartoon Network Collection: Game Boy Advance Video Volume 1
1440,Kung Fu Panda 2
1441,Dynasty Warriors 6 (JP sales)
1442,Bomberman Tournament
1443,SpongeBob's Truth or Square (US sales)
1444,UEFA Euro 2008 Austria-Switzerland
1445,Marie no Atelier: Salburg no Renkinjutsushi
1446,Hybrid Heaven
1447,NBA Showtime: NBA on NBC
1448,Fox Sports College Hoops '99
1449,Wheel of Fortune
1450,MRC: Multi-Racing Championship
1451,F1 Pole Position 64
1452,Gex 64: Enter the Gecko
1453,Wayne Gretzky's 3D Hockey '98
1454,NBA Courtside 2 featuring Kobe Bryant
1455,J Stars Victory Vs.
1456,U-Sing: Girls Night
1457,Penny Racers
1458,Caesars Palace II
1459,Freshly-Picked: Tingle's Rosy Rupeeland
1460,NBA Jam Tournament Edition
1461,Medabots AX: Metabee
1462,Tennis no Oji-Sama: Genius Boys Academy
1463,Shadow Man
1464,Netsu Chu! Pro Yakyuu 2002
1465,Yakuza Zero: The Place of Oath
1466,Imagine: Zookeeper
1467,F1 2000
1468,Dood's Big Adventure
1469,WRC: World Rally Championship
1470,"Ed, Edd n Eddy: The Mis-Edventures"
1471,Dune 2000
1472,Monster Hunter G
1473,Project Overkill
1474,Jumping Flash! 2
1475,Choro Q2
1476,Butt Ugly Martians: B.K.M. Battles
1477,Sorry! / Aggravation / Scrabble Junior
1478,Classic NES Series: Xevious
1479,Avatar: The Last Airbender - Into the Inferno
1480,Disney's Planes
1481,Tales of Hearts
1482,Jikkyou Powerful Pro Yakyuu 2001
1483,Transformers: War for Cybertron (DS Version)
1484,Tongari Boushi to Oshare na Mahou Tsukai
1485,Panzer General
1486,Gallop Racer (JP)
1487,Spawn the Eternal
1488,Guitar Freaks
1489,World Soccer Winning Eleven 7
1490,SRS: Street Racing Syndicate
1491,Namco Tennis Smash Court
1492,The Incredible Hulk
1493,Marvel vs. Capcom Origins
1494,Pro Yaky? Spirits 2011
1495,Imagine: Teacher Class Trip
1496,K-1 Revenge
1497,G-Police
1498,Atelier Meruru: Alchemist of Arland 3
1499,AC/DC LIVE: Rock Band Track Pack
1500,"What Did I Do to Deserve This, My Lord!? 2"
1501,Rock Band Track Pack Volume 1
1502,Kill.Switch
1503,Summon Night 3
1504,Pro Yaky? Spirits 2010
1505,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE
1506,All Grown Up!: Game Boy Advance Video Volume 1
1507,Sakura Wars: Atsuki Chishio Ni
1508,Ms. Pac-Man: Maze Madness / Pac-Man World
1509,The Godfather (US & Others sales)
1510,Jikkyou Powerful Pro Yakyuu 15
1511,Paperboy
1512,South Park: Chef's Luv Shack
1513,Road Rash 64
1514,Rock Band Track Pack Volume 2
1515,Mobile Suit Gundam Battlefield Record U.C.0081
1516,Lucky Luke
1517,Ashes Cricket 2009
1518,Densetsu no Stafi 3
1519,Forsaken
1520,Ratchet & Clank: Going Commando (JP weekly sales)
1521,The Hobbit
1522,Hello Kitty Seasons
1523,XS Airboat Racing
1524,Dora the Explorer: Super Star Adventures
1525,Scrabble (Others sales)
1526,Wild 9
1527,Tiger Woods PGA Tour 10
1528,Shrek's Carnival Craze Party Games
1529,Danganronpa: Trigger Happy Havoc
1530,PGA Tour 96
1531,Covert Ops: Nuclear Dawn
1532,Nintendo Presents: Crossword Collection
1533,G.I. Joe: The Rise of Cobra
1534,Polly Pocket: Super Splash Island
1535,God Eater 2
1536,Sesame Street: Elmo's Number Journey
1537,The Walking Dead: Season Two
1538,New Carnival Games
1539,Love Plus +
1540,Mobile Suit Gundam: Climax U.C.
1541,Street Fighter EX2 Plus
1542,Big Family Games
1543,Big Beach Sports 2
1544,Jet X20
1545,Super Robot Taisen D
1546,Kung Fu Panda 2
1547,Hotel for Dogs
1548,Pro Yakyuu Team o Tsukurou!
1549,Vancouver 2010 - The Official Video Game of the Olympic Winter Games
1550,SingStar Pop Edition
1551,M&M's Kart Racing
1552,Rock Band Track Pack: Classic Rock
1553,Let's Make a Soccer Team!
1554,Monster Hunter G
1555,All-Star Baseball 2001
1556,Imagine: Detective
1557,Shaun White Snowboarding
1558,What's Cooking? Jamie Oliver
1559,Tom Clancy's Rainbow Six: Rogue Spear
1560,Ultimate Duck Hunting: Hunting & Retrieving Ducks
1561,Colony Wars: Vengeance
1562,Last Window: The Secret of Cape West
1563,Yu-Gi-Oh! GX: Tag Force 3
1564,I Love Horses
1565,Madden NFL 06
1566,Perfect Weapon
1567,Dragon Quest Heroes II: Twin Kings and the Prophecy's End
1568,AKB1/149: Love Election
1569,Pro Yakyuu Team o Tsukurou! 2
1570,Musou Orochi Z
1571,World Series of Poker 2008: Battle for the Bracelets
1572,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon
1573,Critical Depth
1574,Barbie as The Island Princess
1575,Petz Rescue: Wildlife Vet
1576,Tales of VS.
1577,Saka-Tsuku DS: Touch and Direct
1578,Mega Man Battle Network 5: Team Colonel / Protoman
1579,Naruto: Ninja Council 2 European Version
1580,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen
1581,Rampage 2: Universal Tour
1582,Super Robot Taisen F Kanketsuhen
1583,TRON: Evolution - Battle Grids
1584,The Raiden Project
1585,Pocket Fighter
1586,Bicycle Casino 2005
1587,.hack//G.U. Vol.2//Reminisce
1588,Family Party: 30 Great Games Winter Fun
1589,101-in-1 Party Megamix Wii
1590,Buzz! Junior: RoboJam
1591,AC/DC LIVE: Rock Band Track Pack
1592,The Magic School Bus: Oceans
1593,Shin Nippon Pro Wrestling: Toukon Retsuden 3
1594,Digimon World DS (JP sales)
1595,Jersey Devil
1596,3rd Super Robot Wars Z Jigoku Hen
1597,Petz Monkeyz House
1598,FaceBreaker K.O. Party
